Date of Booking,Date of Journey,Airline-Class,Departure Time,Arrival Time,Duration,Total Stops,Price
15/01/2023,16/01/2023,"SpiceJet 
SG-8169
ECONOMY","20:00
Delhi","22:05
Mumbai",02h 05m,non-stop,"5,335"
15/01/2023,16/01/2023,"Indigo 
6E-2519
ECONOMY","23:00
Delhi","01:20
Mumbai",02h 20m,non-stop,"5,899"
15/01/2023,16/01/2023,"GO FIRST 
G8- 354
ECONOMY","22:30
Delhi","00:40
Mumbai",02h 10m,non-stop,"5,801"
15/01/2023,16/01/2023,"SpiceJet 
SG-8709
ECONOMY","18:50
Delhi","20:55
Mumbai",02h 05m,non-stop,"5,794"
15/01/2023,16/01/2023,"Air India 
AI-805
ECONOMY","20:00
Delhi","22:10
Mumbai",02h 10m,non-stop,"5,955"
15/01/2023,16/01/2023,"Air India 
AI-605
ECONOMY","21:20
Delhi","23:35
Mumbai",02h 15m,non-stop,"5,955"
15/01/2023,16/01/2023,"Air India 
AI-814
ECONOMY","22:30
Delhi","00:45
Mumbai",02h 15m,non-stop,"5,955"
15/01/2023,16/01/2023,"GO FIRST 
G8- 330
ECONOMY","21:00
Delhi","23:15
Mumbai",02h 15m,non-stop,"5,899"
15/01/2023,16/01/2023,"SpiceJet 
SG-2976
ECONOMY","20:10
Delhi","10:30
Mumbai",14h 20m,1-stop,"5,829"
15/01/2023,16/01/2023,"GO FIRST 
G8- 346
ECONOMY","20:00
Delhi","22:05
Mumbai",02h 05m,non-stop,"5,899"
15/01/2023,16/01/2023,"AirAsia 
I5-743
ECONOMY","04:55
Delhi","19:35
Mumbai",14h 40m,1-stop,"6,640"
15/01/2023,16/01/2023,"Indigo 
6E-2208
ECONOMY","22:45
Delhi","07:25
Mumbai",08h 40m,1-stop,"6,390"
15/01/2023,16/01/2023,"AirAsia 
I5-857
ECONOMY","19:05
Delhi","00:40
Mumbai",05h 35m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-773
ECONOMY","20:00
Delhi","02:20
Mumbai",06h 20m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-773
ECONOMY","20:00
Delhi","04:00
Mumbai",08h 00m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-784
ECONOMY","16:30
Delhi","00:40
Mumbai",08h 10m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-1228
ECONOMY","09:30
Delhi","19:00
Mumbai",09h 30m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-740
ECONOMY","08:10
Delhi","19:00
Mumbai",10h 50m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-773
ECONOMY","20:00
Delhi","06:55
Mumbai",10h 55m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-1228
ECONOMY","09:30
Delhi","21:00
Mumbai",11h 30m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-740
ECONOMY","08:10
Delhi","21:00
Mumbai",12h 50m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-798
ECONOMY","12:45
Delhi","02:20
Mumbai",13h 35m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-1228
ECONOMY","09:30
Delhi","00:40
Mumbai",15h 10m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-798
ECONOMY","12:45
Delhi","04:00
Mumbai",15h 15m,1-stop,"6,872"
15/01/2023,16/01/2023,"AirAsia 
I5-740
ECONOMY","08:10
Delhi","00:40
Mumbai",16h 30m,1-stop,"6,872"
15/01/2023,16/01/2023,"Indigo 
6E-2017
ECONOMY","19:20
Delhi","21:30
Mumbai",02h 10m,non-stop,"7,319"
15/01/2023,16/01/2023,"Indigo 
6E-2176
ECONOMY","14:15
Delhi","16:30
Mumbai",02h 15m,non-stop,"7,319"
